%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1526867884575000114,1937,1526867884568027312,world,0.00337195419706,0.00337195419706,0.00337195419706,0.0,0.0,0.0
1526867884594332541,1938,1526867884587871079,world,-0.00142887153197,-0.00142887153197,-0.00142887153197,0.0,0.0,0.0
1526867884614682317,1939,1526867884607809920,world,-0.00351177807897,-0.00351177807897,-0.00351177807897,0.0,0.0,0.0
1526867884635137220,1940,1526867884627536340,world,0.00307958479971,0.00307958479971,0.00307958479971,0.0,0.0,0.0
1526867884654554137,1941,1526867884647594831,world,-0.000682041514665,-0.000682041514665,-0.000682041514665,0.0,0.0,0.0
1526867884674850275,1942,1526867884668288575,world,-0.000945118779782,-0.000945118779782,-0.000945118779782,0.0,0.0,0.0
1526867884694982518,1943,1526867884688036410,world,-0.00484634051099,-0.00484634051099,-0.00484634051099,0.0,0.0,0.0
1526867884714259050,1944,1526867884707669804,world,-0.00731871183962,-0.00731871183962,-0.00731871183962,0.0,0.0,0.0
1526867884734680809,1945,1526867884728509982,world,-0.0150302015245,-0.0150302015245,-0.0150302015245,0.0,0.0,0.0
1526867884754957947,1946,1526867884748204915,world,-0.0160708539188,-0.0160708539188,-0.0160708539188,0.0,0.0,0.0
1526867884774373148,1947,1526867884767840498,world,-0.0270656142384,-0.0270656142384,-0.0270656142384,0.0,0.0,0.0
1526867884794776415,1948,1526867884787761626,world,-0.0331711918116,-0.0331711918116,-0.0331711918116,0.0,0.0,0.0
1526867884815059957,1949,1526867884807586084,world,-0.0327140241861,-0.0327140241861,-0.0327140241861,0.0,0.0,0.0
1526867884834474455,1950,1526867884828476860,world,-0.047029633075,-0.047029633075,-0.047029633075,0.0,0.0,0.0
1526867884854809407,1951,1526867884848181431,world,-0.0480645149946,-0.0480645149946,-0.0480645149946,0.0,0.0,0.0
1526867884875083350,1952,1526867884867830008,world,-0.0445458218455,-0.0445458218455,-0.0445458218455,0.0,0.0,0.0
1526867884894468471,1953,1526867884887722189,world,-0.0666996464133,-0.0666996464133,-0.0666996464133,0.0,0.0,0.0
1526867884914797494,1954,1526867884908546206,world,-0.0639998614788,-0.0639998614788,-0.0639998614788,0.0,0.0,0.0
1526867884935189324,1955,1526867884928348227,world,-0.0799024030566,-0.0799024030566,-0.0799024030566,0.0,0.0,0.0
1526867884954557687,1956,1526867884948175002,world,-0.0752746984363,-0.0752746984363,-0.0752746984363,0.0,0.0,0.0
1526867884974918357,1957,1526867884967855029,world,-0.0741276741028,-0.0741276741028,-0.0741276741028,0.0,0.0,0.0
1526867884994198759,1958,1526867884987821854,world,-0.107818216085,-0.107818216085,-0.107818216085,0.0,0.0,0.0
1526867885014559469,1959,1526867885007697284,world,-0.100858256221,-0.100858256221,-0.100858256221,0.0,0.0,0.0
1526867885034812332,1960,1526867885028650496,world,-0.126750960946,-0.126750960946,-0.126750960946,0.0,0.0,0.0
1526867885055179831,1961,1526867885048530248,world,-0.123154103756,-0.123154103756,-0.123154103756,0.0,0.0,0.0
1526867885074492255,1962,1526867885068344798,world,-0.129717439413,-0.129717439413,-0.129717439413,0.0,0.0,0.0
1526867885094846745,1963,1526867885088270769,world,-0.171320796013,-0.171320796013,-0.171320796013,0.0,0.0,0.0
1526867885115252906,1964,1526867885107992334,world,-0.167690545321,-0.167690545321,-0.167690545321,0.0,0.0,0.0
1526867885134694010,1965,1526867885127772999,world,-0.220885753632,-0.220885753632,-0.220885753632,0.0,0.0,0.0
1526867885155098557,1966,1526867885148559632,world,-0.207402914762,-0.207402914762,-0.207402914762,0.0,0.0,0.0
1526867885174401622,1967,1526867885167894579,world,-0.213135510683,-0.213135510683,-0.213135510683,0.0,0.0,0.0
1526867885194786255,1968,1526867885187618291,world,-0.279118657112,-0.279118657112,-0.279118657112,0.0,0.0,0.0
1526867885215169525,1969,1526867885208505088,world,-0.262535154819,-0.262535154819,-0.262535154819,0.0,0.0,0.0
1526867885234439407,1970,1526867885228373210,world,-0.339558184147,-0.339558184147,-0.339558184147,0.0,0.0,0.0
1526867885254785980,1971,1526867885248424214,world,-0.31176763773,-0.31176763773,-0.31176763773,0.0,0.0,0.0
1526867885275054512,1972,1526867885268175786,world,-0.297720104456,-0.297720104456,-0.297720104456,0.0,0.0,0.0
1526867885294342404,1973,1526867885287922847,world,-0.387532651424,-0.387532651424,-0.387532651424,0.0,0.0,0.0
1526867885314672813,1974,1526867885307723697,world,-0.35428160429,-0.35428160429,-0.35428160429,0.0,0.0,0.0
1526867885335163155,1975,1526867885327622745,world,-0.425075471401,-0.425075471401,-0.425075471401,0.0,0.0,0.0
1526867885354471748,1976,1526867885348445791,world,-0.401290625334,-0.401290625334,-0.401290625334,0.0,0.0,0.0
1526867885374756858,1977,1526867885368144111,world,-0.381765007973,-0.381765007973,-0.381765007973,0.0,0.0,0.0
1526867885395052905,1978,1526867885388017916,world,-0.472180873156,-0.472180873156,-0.472180873156,0.0,0.0,0.0
1526867885414602776,1979,1526867885407894548,world,-0.441715419292,-0.441715419292,-0.441715419292,0.0,0.0,0.0
1526867885434866293,1980,1526867885427758649,world,-0.521307229996,-0.521307229996,-0.521307229996,0.0,0.0,0.0
1526867885455371453,1981,1526867885447776460,world,-0.468232601881,-0.468232601881,-0.468232601881,0.0,0.0,0.0
