%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1526373854729649005,2636,1526373854729425847,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000591895419518,0.000369864181439,0.000234755081857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0184746661456,0.00483821920585,9.79404294848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854739602508,2637,1526373854739448575,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00171878232129,0.00197499532299,0.0013538741162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00928985979874,0.00314970149717,9.78546099007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854749857171,2638,1526373854749656502,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00327994997876,0.00025879443443,-0.000294726920877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00842247789027,-0.00277539547038,9.77954243839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854760253114,2639,1526373854759887104,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00217783600171,0.000660773243731,0.000522487433794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0227633589995,0.00708276943595,9.78503823638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854770080552,2640,1526373854769959862,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000654718453366,0.000857860883317,-0.000373595012652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0259862666088,-0.00499808630731,9.79995097518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854776913333,2641,1526373854776497677,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00106183249524,0.00231526538689,0.00147313665958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00607504178945,-0.00442101323133,9.82388012052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854861171353,2642,1526373854860779719,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00166031423202,0.00114416773537,-0.000864849080436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0294203386456,0.00458224049566,9.7757604593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854866906990,2643,1526373854866639151,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76370218945e-05,-0.000187377374544,-0.000802488978887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0291268746578,-0.000177145206162,9.78590596318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854870354217,2644,1526373854870147571,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00141057200957,-0.000125808345946,-0.00130500836112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0124944720184,-0.00368171132694,9.79892069578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854872767857,2645,1526373854872611898,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00181240426699,0.000256284993521,-0.000407945759562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0185852698842,-0.00885019543406,9.80738921821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854876829835,2646,1526373854876710439,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00157380375867,0.00114243603047,6.95654444736e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00984741465189,0.00247834892099,9.78876583636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854890582075,2647,1526373854890322064,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00112236193361,-0.000158967261625,-3.79297922456e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0149378589867,-0.00608726098551,9.78491252124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854897122830,2648,1526373854896574912,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00217538922245,-6.6898390396e-06,-0.00175809398596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00670848939044,-0.00224622830676,9.79526033878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854908985499,2649,1526373854908851569,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000320263131229,0.000879587622482,0.000540384025862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00492140841088,-0.00262968788127,9.79234140873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854919293443,2650,1526373854919128978,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000613122685942,-0.000905505849509,4.92375678947e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0164486618817,-0.000522407605313,9.78846119642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854929362515,2651,1526373854929187795,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00194667634987,0.00140496727783,0.000750006695266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0200580898602,-0.0180315488402,9.79387045562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
